city_name,country_code,region,population,upd_date,lat,lon
Madrid,ES,Europe/Madrid,3255944,2019-09-05,40.4165,-3.7025599
Logrono,ES,Europe/Madrid,152107,2019-10-04,42.466671,-2.45
Lleida,ES,Europe/Madrid,135919,2018-03-11,41.616741,.62217999
Leon,ES,Europe/Madrid,134305,2013-07-06,42.600029,-5.5703201
Leganes,ES,Europe/Madrid,186066,2019-09-05,40.327179,-3.7635
A Coruna,ES,Europe/Madrid,246056,2015-04-24,43.371349,-8.3959999
L'Hospitalet de Llobregat,ES,Europe/Madrid,257038,2018-09-13,41.359669,2.10028
Hortaleza,ES,Europe/Madrid,161661,2019-04-03,40.474442,-3.6410999
Gracia,ES,Europe/Madrid,121502,2017-05-26,41.40237,2.15641
Gijon,ES,Europe/Madrid,277554,2019-09-05,43.535728,-5.66152
Getafe,ES,Europe/Madrid,167164,2019-09-05,40.30571,-3.73295
Fuenlabrada,ES,Europe/Madrid,197836,2019-09-05,40.284191,-3.7941501
Ciudad Lineal,ES,Europe/Madrid,228171,2017-05-26,40.445049,-3.65132
Chamartin,ES,Europe/Madrid,140000,2017-05-26,40.462059,-3.6766
Burgos,ES,Europe/Madrid,178966,2019-09-05,42.341061,-3.7018399
Bilbao,ES,Europe/Madrid,354860,2019-09-05,43.262711,-2.9252801
Barcelona,ES,Europe/Madrid,1621537,2019-09-05,41.38879,2.1589899
Badalona,ES,Europe/Madrid,219547,2019-09-05,41.450039,2.2474101
Alcorcon,ES,Europe/Madrid,167967,2019-09-05,40.345821,-3.8248701
Alcobendas,ES,Europe/Madrid,107514,2013-08-24,40.547459,-3.6419699
Alcala de Henares,ES,Europe/Madrid,204574,2019-09-05,40.482052,-3.3599601
Nou Barris,ES,Europe/Madrid,166310,2017-05-26,41.441631,2.1772699
Moncloa-Aravaca,ES,Europe/Madrid,116531,2017-05-26,40.435471,-3.7316999
Eixample,ES,Europe/Madrid,266477,2018-11-13,41.388962,2.1617899
Sarria-Sant Gervasi,ES,Europe/Madrid,147912,2017-05-26,41.401039,2.1394
Horta-Guinardo,ES,Europe/Madrid,168092,2017-05-26,41.418491,2.1677001
Sants-Montjuic,ES,Europe/Madrid,183120,2017-05-26,41.372631,2.1545999
Sant Marti,ES,Europe/Madrid,235719,2020-01-18,41.41814,2.1993301
Ciutat Vella,ES,Europe/Madrid,102347,2017-05-26,41.380219,2.1731901
Arganzuela,ES,Europe/Madrid,148797,2017-05-26,40.400211,-3.6961801
San Blas-Canillejas,ES,Europe/Madrid,157367,2017-05-26,40.438931,-3.61537
Latina,ES,Europe/Madrid,256644,2017-05-26,40.388969,-3.7456901
Usera,ES,Europe/Madrid,141189,2017-05-26,40.38866,-3.70035
Salamanca,ES,Europe/Madrid,147707,2017-05-26,40.429722,-3.67975
Chamberi,ES,Europe/Madrid,145934,2017-05-26,40.43404,-3.7037899
Carabanchel,ES,Europe/Madrid,253678,2017-05-26,40.390942,-3.7242
City Center,ES,Europe/Madrid,149718,2017-05-26,40.418308,-3.70275
Retiro,ES,Europe/Madrid,126058,2017-05-26,40.41317,-3.6830699
Delicias,ES,Europe/Madrid,110520,2011-09-02,41.649281,-.90757
Fuencarral-El Pardo,ES,Europe/Madrid,220085,2017-05-26,40.498402,-3.7314
Nazret,ET,Africa/Addis_Ababa,213995,2020-06-11,8.5500002,39.26667
Mek'ele,ET,Africa/Addis_Ababa,215546,2016-10-12,13.49667,39.475281
Jimma,ET,Africa/Addis_Ababa,128306,2016-10-22,7.67344,36.834412
Gondar,ET,Africa/Addis_Ababa,153914,2018-10-16,12.6,37.466671
Dire Dawa,ET,Africa/Addis_Ababa,252279,2015-09-05,9.5930595,41.866112
Dese,ET,Africa/Addis_Ababa,136056,2020-06-11,11.13333,39.633331
Bishoftu,ET,Africa/Addis_Ababa,104215,2014-11-30,8.7522497,38.978458
Bahir Dar,ET,Africa/Addis_Ababa,168899,2013-04-21,11.59364,37.39077
Hawassa,ET,Africa/Addis_Ababa,133097,2013-05-18,7.0620499,38.476349
Addis Ababa,ET,Africa/Addis_Ababa,2757729,2021-03-16,9.0249701,38.746891
Vantaa,FI,Europe/Helsinki,190058,2021-02-22,60.29414,25.040991
Turku,FI,Europe/Helsinki,175945,2019-09-05,60.451481,22.26869
Tampere,FI,Europe/Helsinki,202687,2019-09-05,61.499111,23.787121
Oulu,FI,Europe/Helsinki,128618,2019-09-05,65.01236,25.468161
Helsinki,FI,Europe/Helsinki,558457,2019-11-18,60.169521,24.93545
Espoo,FI,Europe/Helsinki,256760,2016-06-11,60.2052,24.652201
Villeurbanne,FR,Europe/Paris,131445,2019-09-05,45.76601,4.8794999
Tours,FR,Europe/Paris,141621,2019-09-05,47.39484,.70398003
Toulouse,FR,Europe/Paris,433055,2019-10-09,43.604259,1.44367
Toulon,FR,Europe/Paris,168701,2021-08-08,43.12442,5.92836
Strasbourg,FR,Europe/Paris,274845,2019-09-05,48.58392,7.7455301
Saint-Etienne,FR,Europe/Paris,176280,2021-08-08,45.433891,4.3899999
Rouen,FR,Europe/Paris,112787,2021-08-04,49.44313,1.0993201
Rennes,FR,Europe/Paris,209375,2021-07-25,48.11198,-1.6742899
Reims,FR,Europe/Paris,196565,2021-08-08,49.265259,4.0285301
Perpignan,FR,Europe/Paris,110706,2019-09-05,42.697639,2.8954101
Paris,FR,Europe/Paris,2138551,2021-07-25,48.853409,2.3487999
Orleans,FR,Europe/Paris,124149,2021-08-04,47.902889,1.90389
Nimes,FR,Europe/Paris,148236,2020-06-27,43.836651,4.3578801
Nice,FR,Europe/Paris,338620,2019-09-05,43.703129,7.2660799
Nantes,FR,Europe/Paris,277269,2019-10-09,47.217251,-1.55336
Nancy,FR,Europe/Paris,105334,2019-10-09,48.684391,6.1849599
Mulhouse,FR,Europe/Paris,111430,2021-08-04,47.752048,7.32866
Montpellier,FR,Europe/Paris,248252,2021-08-03,43.610931,3.8763499
Metz,FR,Europe/Paris,123914,2021-08-04,49.11911,6.1726899
Marseille,FR,Europe/Paris,794811,2020-05-15,43.296951,5.3810701
Lyon,FR,Europe/Paris,472317,2019-10-09,45.748459,4.8467102
Limoges,FR,Europe/Paris,141176,2019-09-05,45.833618,1.2475899
Lille,FR,Europe/Paris,228328,2021-08-08,50.632969,3.0585799
Le Mans,FR,Europe/Paris,144515,2020-12-10,48.002102,.20251
Le Havre,FR,Europe/Paris,185972,2019-09-05,49.493801,.10767
Grenoble,FR,Europe/Paris,158552,2019-09-05,45.178692,5.7147899
Dijon,FR,Europe/Paris,149782,2021-08-08,47.316669,5.0166702
Clermont-Ferrand,FR,Europe/Paris,138681,2019-09-05,45.77969,3.0868199
Caen,FR,Europe/Paris,110624,2019-09-05,49.185848,-.35912001
Brest,FR,Europe/Paris,144899,2021-08-04,48.390289,-4.48628
Boulogne-Billancourt,FR,Europe/Paris,108782,2019-04-10,48.835449,2.2412801
Bordeaux,FR,Europe/Paris,231844,2019-09-05,44.840439,-.58050001
Besancon,FR,Europe/Paris,128426,2020-06-15,47.248779,6.0181499
Argenteuil,FR,Europe/Paris,101475,2019-04-10,48.94788,2.2474401
Angers,FR,Europe/Paris,168279,2020-10-14,47.471561,-.55202001
Amiens,FR,Europe/Paris,143086,2021-08-03,49.900002,2.3
Aix-en-Provence,FR,Europe/Paris,146821,2019-02-27,43.528301,5.4497299
Saint-Quentin-en-Yvelines,FR,Europe/Paris,146598,2016-02-18,48.771858,2.0189099
Cergy-Pontoise,FR,Europe/Paris,183430,2016-02-18,49.03894,2.0780499
Port-Gentil,GA,Africa/Libreville,109163,2011-08-25,-.71933001,8.7815104
Libreville,GA,Africa/Libreville,578156,2019-09-05,.39241001,9.4535599
York,GB,Europe/London,153717,2021-08-08,53.95763,-1.08271
Worcester,GB,Europe/London,101659,2019-09-05,52.18935,-2.22001
Wolverhampton,GB,Europe/London,252791,2018-03-12,52.585468,-2.1229601
Woking,GB,Europe/London,103932,2010-08-03,51.319031,-.55892998
Wigan,GB,Europe/London,175405,2017-06-12,53.542961,-2.6370599
City of Westminster,GB,Europe/London,247614,2019-05-09,51.497501,-.1357
West Bromwich,GB,Europe/London,135618,2011-03-03,52.518681,-1.9945
Watford,GB,Europe/London,125707,2016-07-22,51.655312,-.39602
Warrington,GB,Europe/London,165456,2017-06-12,53.39254,-2.58024
Walsall,GB,Europe/London,172141,2019-02-28,52.585281,-1.98396
Swindon,GB,Europe/London,185609,2021-07-25,51.557968,-1.78116
Swansea,GB,Europe/London,300352,2021-07-25,51.620789,-3.9432299
Sutton Coldfield,GB,Europe/London,107030,2013-07-11,52.566669,-1.8166699
Sutton,GB,Europe/London,187600,2014-04-28,51.349998,-.2
Sunderland,GB,Europe/London,335415,2017-06-12,54.904652,-1.38222
Stoke-on-Trent,GB,Europe/London,372775,2019-09-05,53.00415,-2.18538
Stockport,GB,Europe/London,139052,2021-07-25,53.40979,-2.1576099
Southend-on-Sea,GB,Europe/London,295310,2018-03-12,51.537819,.71433002
Southampton,GB,Europe/London,246201,2021-08-01,50.90395,-1.4042799
Slough,GB,Europe/London,163777,2018-03-12,51.509491,-.59540999
Sheffield,GB,Europe/London,685368,2021-07-25,53.382969,-1.4658999
Saint Peters,GB,Europe/London,125370,2018-07-03,51.366669,1.41667
St Helens,GB,Europe/London,102555,2014-04-28,53.450001,-2.73333
Rotherham,GB,Europe/London,117618,2011-03-03,53.430119,-1.3567801
Reading,GB,Europe/London,318014,2021-08-08,51.456249,-.97113001
Preston,GB,Europe/London,313332,2019-09-05,53.762821,-2.70452
Portsmouth,GB,Europe/London,194150,2021-07-25,50.798988,-1.0912499
Poole,GB,Europe/London,150092,2020-05-14,50.714291,-1.98458
Plymouth,GB,Europe/London,260203,2021-08-08,50.371529,-4.1430502
Peterborough,GB,Europe/London,163379,2018-03-12,52.573639,-.24777
Oxford,GB,Europe/London,171380,2020-05-14,51.75222,-1.25596
Oldham,GB,Europe/London,104782,2010-10-16,53.540508,-2.1183
Nottingham,GB,Europe/London,321500,2021-07-25,52.953602,-1.15047
Norwich,GB,Europe/London,213166,2021-08-08,52.627831,1.29834
Northampton,GB,Europe/London,215963,2017-06-12,52.25,-.88332999
